Lambda,f2,r_int,G,f0,c_g,g2
2.0,0.25,4,0.5890486225480862,0.5,0.5,473.7410112522892
2.0,0.25,4,0.5890486225480862,0.5,1.0,236.8705056261446
2.0,0.25,4,0.5890486225480862,0.5,3.0,78.95683520871486
2.0,0.25,4,0.5890486225480862,1.0,0.5,236.8705056261446
2.0,0.25,4,0.5890486225480862,1.0,1.0,118.4352528130723
2.0,0.25,4,0.5890486225480862,1.0,3.0,39.47841760435743
2.0,0.25,4,0.5890486225480862,2.0,0.5,118.4352528130723
2.0,0.25,4,0.5890486225480862,2.0,1.0,59.21762640653615
2.0,0.25,4,0.5890486225480862,2.0,3.0,19.739208802178716
2.0,0.5,1,1.1780972450961724,0.5,0.5,473.7410112522892
2.0,0.5,1,1.1780972450961724,0.5,1.0,236.8705056261446
2.0,0.5,1,1.1780972450961724,0.5,3.0,78.95683520871486
2.0,0.5,1,1.1780972450961724,1.0,0.5,236.8705056261446
2.0,0.5,1,1.1780972450961724,1.0,1.0,118.4352528130723
2.0,0.5,1,1.1780972450961724,1.0,3.0,39.47841760435743
2.0,0.5,1,1.1780972450961724,2.0,0.5,118.4352528130723
2.0,0.5,1,1.1780972450961724,2.0,1.0,59.21762640653615
2.0,0.5,1,1.1780972450961724,2.0,3.0,19.739208802178716
2.0,0.5,2,0.5890486225480862,0.5,0.5,473.7410112522892
2.0,0.5,2,0.5890486225480862,0.5,1.0,236.8705056261446
2.0,0.5,2,0.5890486225480862,0.5,3.0,78.95683520871486
2.0,0.5,2,0.5890486225480862,1.0,0.5,236.8705056261446
2.0,0.5,2,0.5890486225480862,1.0,1.0,118.4352528130723
2.0,0.5,2,0.5890486225480862,1.0,3.0,39.47841760435743
2.0,0.5,2,0.5890486225480862,2.0,0.5,118.4352528130723
2.0,0.5,2,0.5890486225480862,2.0,1.0,59.21762640653615
2.0,0.5,2,0.5890486225480862,2.0,3.0,19.739208802178716
2.0,0.5,4,0.2945243112740431,0.5,0.5,473.7410112522892
2.0,0.5,4,0.2945243112740431,0.5,1.0,236.8705056261446
2.0,0.5,4,0.2945243112740431,0.5,3.0,78.95683520871486
2.0,0.5,4,0.2945243112740431,1.0,0.5,236.8705056261446
2.0,0.5,4,0.2945243112740431,1.0,1.0,118.4352528130723
2.0,0.5,4,0.2945243112740431,1.0,3.0,39.47841760435743
2.0,0.5,4,0.2945243112740431,2.0,0.5,118.4352528130723
2.0,0.5,4,0.2945243112740431,2.0,1.0,59.21762640653615
2.0,0.5,4,0.2945243112740431,2.0,3.0,19.739208802178716
2.0,1.0,1,0.5890486225480862,0.5,0.5,473.7410112522892
2.0,1.0,1,0.5890486225480862,0.5,1.0,236.8705056261446
2.0,1.0,1,0.5890486225480862,0.5,3.0,78.95683520871486
2.0,1.0,1,0.5890486225480862,1.0,0.5,236.8705056261446
2.0,1.0,1,0.5890486225480862,1.0,1.0,118.4352528130723
2.0,1.0,1,0.5890486225480862,1.0,3.0,39.47841760435743
2.0,1.0,1,0.5890486225480862,2.0,0.5,118.4352528130723
2.0,1.0,1,0.5890486225480862,2.0,1.0,59.21762640653615
2.0,1.0,1,0.5890486225480862,2.0,3.0,19.739208802178716
2.0,1.0,2,0.2945243112740431,0.5,0.5,473.7410112522892
2.0,1.0,2,0.2945243112740431,0.5,1.0,236.8705056261446
2.0,1.0,2,0.2945243112740431,0.5,3.0,78.95683520871486
2.0,1.0,2,0.2945243112740431,1.0,0.5,236.8705056261446
2.0,1.0,2,0.2945243112740431,1.0,1.0,118.4352528130723
2.0,1.0,2,0.2945243112740431,1.0,3.0,39.47841760435743
2.0,1.0,2,0.2945243112740431,2.0,0.5,118.4352528130723
2.0,1.0,2,0.2945243112740431,2.0,1.0,59.21762640653615
2.0,1.0,2,0.2945243112740431,2.0,3.0,19.739208802178716
2.0,1.0,4,0.14726215563702155,0.5,0.5,473.7410112522892
2.0,1.0,4,0.14726215563702155,0.5,1.0,236.8705056261446
2.0,1.0,4,0.14726215563702155,0.5,3.0,78.95683520871486
2.0,1.0,4,0.14726215563702155,1.0,0.5,236.8705056261446
2.0,1.0,4,0.14726215563702155,1.0,1.0,118.4352528130723
2.0,1.0,4,0.14726215563702155,1.0,3.0,39.47841760435743
2.0,1.0,4,0.14726215563702155,2.0,0.5,118.4352528130723
2.0,1.0,4,0.14726215563702155,2.0,1.0,59.21762640653615
2.0,1.0,4,0.14726215563702155,2.0,3.0,19.739208802178716
